Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Verizon Communications,https://www.crunchbase.com/organization/verizon,"Hardware, Information Technology, Mobile","New York, New York, United States",Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,103,"Oct 7, 1983",Active,,For Profit,,,3,4,1,1,,10001+,7,IPO,"Feb 28, 2014","$21,271,935,000",Post-IPO Equity,"$21,271,935,000",Post-IPO Equity,"$29,929,503,000","$30,079,814,466",,2,Made Acquisitions,Public,"Dec 2, 1983",,,
General Motors,https://www.crunchbase.com/organization/general-motors,"Manufacturing, Software, Transportation","Detroit, Michigan, United States","General Motors Company engages in the manufacture and sale of cars and trucks in the USA, China, Brazil, Germany, UK, Canada, and Italy.",116,1908,Active,,For Profit,,,6,6,2,,,10001+,2,IPO,"Feb 1, 2011","$150,922",Grant,,,,"$505,313",,1,Made Acquisitions,Public,"Nov 26, 2010",,,"$15,800,000"
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,"Government and Military, Information Technology, Privacy and Security","Bethesda, Maryland, United States","Lockheed Martin is a security company engaged in the research, development, and manufacture of advanced technology systems and products.",184,"Mar 15, 1995",Active,,For Profit,,,12,13,6,2,,10001+,4,IPO,"Nov 22, 2010","$4,400,000",Venture - Series Unknown,"$4,400,000",Venture - Series Unknown,"$4,400,000","$28,316,440",,2,Made Acquisitions,Public,"Mar 24, 1995",,,
BAE Systems,https://www.crunchbase.com/organization/bae-systems,"Government and Military, Manufacturing, Navigation and Mapping, Science and Engineering","Rockville, Maryland, United States","BAE Systems designs, develops, and supports defense and aerospace systems used in the air, on land, at sea, and in space.",440,1997,Active,,For Profit,,,2,2,,1,,10001+,5,IPO,"Mar 15, 2016","$415,000",Grant,,,,"$84,787,828",,2,Made Acquisitions,Public,"Jan 15, 1999",,,
SolarCity,https://www.crunchbase.com/organization/solarcity,"Energy, Natural Resources, Real Estate, Sustainability","San Mateo, California, United States","SolarCity provides solar energy services to homeowners, businesses, government, and non-profit organizations.",678,"Jul 4, 2006",Active,,For Profit,,,1,2,1,,2,10001+,20,M&A,"Sep 12, 2016","$305,000,000",Post-IPO Equity,"$305,000,000",Post-IPO Equity,"$1,558,500,000","$2,111,930,450",15,22,"Made Acquisitions, Was Acquired",Public,"Dec 21, 2012",,"$584,000,000","$92,000,000"
"Caterpillar, Inc",https://www.crunchbase.com/organization/caterpillar-inc,"Manufacturing, Science and Engineering","Peoria Heights, Illinois, United States",Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.,"2,402","Apr 15, 1925",Active,,For Profit,,,4,4,2,2,,10001+,1,IPO,"Dec 19, 2009","$147,500",Grant,,,,"$147,500",,1,Made Acquisitions,Public,"Jan 13, 1978",,,
Applied Materials,https://www.crunchbase.com/organization/applied-materials,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Santa Clara, California, United States","Applied Materials provides manufacturing solutions for the semiconductor, flat panel display and solar photovoltaic industries.","3,420","Nov 10, 1967",Active,,For Profit,,,,,,,,1-10,1,IPO,"Sep 9, 2013","$1,153,814",Grant,,,,"$1,153,814",,1,Made Acquisitions,Public,"Jan 13, 1978",,,
Green Charge Networks,https://www.crunchbase.com/organization/green-charge-networks,"Energy, Sustainability","Santa Clara, California, United States",Green Charge Networks designs and installs commercial energy storage systems.,"6,643",2009,Active,,For Profit,,,,,,,1,11-50,4,M&A,"Jul 15, 2016","$250,000",Grant,"$56,000,000",Venture - Series Unknown,"$56,000,000","$106,250,000",,4,Was Acquired,Private,,,,
EnergyHub ,https://www.crunchbase.com/organization/energyhub-inc,"Energy, Internet Services, Software, Sustainability","Brooklyn, New York, United States",A real Time Monitoring & Controls System for Managing Household Power Consumption.,"6,910",2007,Active,,,,,,,,,2,11-50,6,M&A,"Dec 3, 2012","$500,000",Debt Financing,"$14,500,000",Series B,"$29,852,300","$33,087,840",2,5,Was Acquired,Private,,,,
Navigant Consulting,https://www.crunchbase.com/organization/navigant-consulting,"Financial Services, Professional Services","Chicago, Illinois, United States","Navigant (NYSE: NCI) is a specialized, global expert services firm dedicated to assisting clients in creating and protecting value.","8,477",1983,Active,,For Profit,,,,,,,1,5001-10000,3,IPO,"Oct 19, 2009","$226,771",Grant,,,,"$859,077",,1,Made Acquisitions,Public,"Oct 11, 1996",,,
