Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Riot Games,https://www.crunchbase.com/organization/riot-games,"Consumer Electronics, Gaming, Hardware, Software","Los Angeles, California, United States",Riot Games is a global company that develops online games.,"1,035",2006,Active,,For Profit,,,2,2,1,1,2,1001-5000,5,M&A,"Nov 14, 2016",,Convertible Note,,Seed,"$15,000,000","$15,000,000",4,5,"Made Acquisitions, Was Acquired",Private,,,,
migme,https://www.crunchbase.com/organization/mig-me,"Apps, Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software","Singapore, Central Region, Singapore","Migme Limited offers migme, a fan-based social entertainment platform that offers chat, content, and microblogging services.","10,726","Dec 1, 2005",Active,,For Profit,,,,,,,2,51-100,10,IPO,"Sep 30, 2016",,Seed,,Seed,"$52,300,000","$52,300,000",7,12,Made Acquisitions,Public,"Aug 11, 2014",,,
Servy,https://www.crunchbase.com/organization/servy,"Apps, Data and Analytics, Food and Beverage, Information Technology, Software, Travel and Tourism","New York, New York, United States",Servy crowdsources restaurant secret shopping,"15,058",2014,Active,,For Profit,,,,,,,2,1-10,3,M&A,"Aug 3, 2015","$810,000",Seed,"$810,000",Seed,"$850,000","$850,000",1,8,Was Acquired,Private,,,,
Harmonix Music Systems,https://www.crunchbase.com/organization/harmonix-music-systems,"Gaming, Media and Entertainment, Music and Audio, Software","Cambridge, Massachusetts, United States",Harmonix Music Systems is a videogame development company that offers Beatles and Rock Band music games in North America and more.,"17,098",1995,Active,,For Profit,,,,,,,1,101-250,4,M&A,"Sep 4, 2015","$15,045,983",Venture - Series Unknown,"$15,045,983",Venture - Series Unknown,"$15,045,983","$15,045,983",3,5,Was Acquired,Private,,,,
Collaborate.com,https://www.crunchbase.com/organization/collaborate-com,"Apps, Mobile, Platforms, Software","Boston, Massachusetts, United States","Collaborate.com is a unified document sharing, task management and team communication platform for the mobile workforce.","19,510",2011,Active,,For Profit,,,,,,,2,1-10,4,M&A,"Sep 1, 2013",,Venture - Series Unknown,,Venture - Series Unknown,"$2,350,000","$2,350,000",1,7,Was Acquired,Private,,,,
Kitchenbowl,https://www.crunchbase.com/organization/kitchenbowl,"Food and Beverage, Software","Seattle, Washington, United States",kitchenbowl is a community for cooking enthusiasts that shares and discovers new recipes.,"21,064",2013,Active,,For Profit,,,,,,,2,1-10,3,M&A,"Jul 16, 2015","$400,000",Seed,"$400,000",Seed,"$2,400,000","$2,400,000",1,7,Was Acquired,Private,,,,
Melon,https://www.crunchbase.com/organization/melon-usemelon,"Apps, Consumer Electronics, Hardware, Mobile, Software","Santa Monica, California, United States",Melon helps users understand their mental focus by gathering brainwave data through a sensor-enabled headband and a mobile app.,"24,654","Nov 6, 2011",Active,,For Profit,,,,,,,3,11-50,6,M&A,"Oct 15, 2013",,Seed,,Seed,"$25,000","$331,000",1,3,Was Acquired,Private,,,,
Splitforce,https://www.crunchbase.com/organization/splitforce,"Data and Analytics, Mobile, Software","New York, New York, United States","Splitforce provides easy A/B testing for iOS, Android and Unity apps.","26,951","Jun 3, 2013",Active,,For Profit,,,,,,,2,1-10,2,M&A,"Jun 9, 2014","$150,000",Seed,"$150,000",Seed,"$300,000","$300,000",1,5,Was Acquired,Private,,,,
Southwest Nanotechnologies,https://www.crunchbase.com/organization/southwest-nanotechnologies,"Information Technology, Manufacturing, Science and Engineering","Norman, Oklahoma, United States",Southwest Nanotechnologies is a producer of carbon nanotubes.,"36,226",2001,Active,,For Profit,,,,,,,2,11-50,8,M&A,"Aug 9, 2014","$2,700,000",Venture - Series Unknown,"$2,700,000",Venture - Series Unknown,"$5,700,000","$5,700,000",2,2,Was Acquired,Private,,,,
SMART Technologies,https://www.crunchbase.com/organization/smart-technologies,"Education, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Calgary, Alberta, Canada",SMART Technologies develops interactive whiteboards and group collaboration tools for classrooms and meeting rooms.,"51,012",1987,Active,,For Profit,,,,,,,2,501-1000,3,M&A,"Sep 30, 2013",,Seed,,Seed,,,1,3,"Made Acquisitions, Was Acquired",Public,"Jul 15, 2010",,"$753,246,132","$660,110,000"
