Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Razer,https://www.crunchbase.com/organization/razer,"Consumer Electronics, Design, Gaming, Hardware, Mobile, Platforms, Software","Irvine, California, United States","Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",55,"Consumer Electronics, Gaming, iOS, Product Design",501-1000,2,4,IPO,"May 15, 2017","$50,000,000",Venture - Series Unknown,"$50,000,000",Venture - Series Unknown,"$175,000,000","$175,000,000",Public,"Nov 13, 2017",,"$500,000,000","$4,400,000,000",Made Acquisitions,Active,"Jun 27, 2005",,For Profit,,,5,5,2,2,1,1,http://www.razerzone.com,,,
Groupon,https://www.crunchbase.com/organization/groupon,"Advertising, Commerce and Shopping, Internet Services, Media and Entertainment, Sales and Marketing","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,70,"Advertising, Internet, Retail, Social Media",1001-5000,9,7,IPO,"Apr 4, 2016","$250,000,000",Post-IPO Equity,"$250,000,000",Post-IPO Equity,"$1,387,000,000","$1,387,000,000",Public,"Nov 4, 2011",,"$700,000,000","$12,708,067,040",Made Acquisitions,Active,"Nov 11, 2008",,For Profit,,,4,19,6,2,1,4,http://www.groupon.com,,,
CoreOS,https://www.crunchbase.com/organization/coreos,"Internet Services, Platforms, Privacy and Security, Software","San Francisco, California, United States",CoreOS builds industry-leading infrastructure software to securely run application containers anywhere.,129,"Cloud Computing, Linux, Security, Software, Web Hosting",51-100,2,5,M&A,"May 9, 2016","$28,000,000",Series B,"$28,000,000",Series B,"$48,000,000","$48,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2013,,For Profit,,,2,9,,,,,http://coreos.com,,,
Facebook,https://www.crunchbase.com/organization/facebook,"Internet Services, Media and Entertainment","Menlo Park, California, United States",Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.,138,"Social, Social Media, Social Network",10001+,5,11,IPO,"Jan 21, 2011","$1,500,000,000",Private Equity,"$1,500,000,000",Private Equity,"$2,115,700,000","$2,335,700,000",Public,"May 18, 2012",,"$18,400,000,000","$104,000,000,000",Made Acquisitions,Active,"Feb 4, 2004",,For Profit,,,10,21,11,3,1,10,http://www.facebook.com,,,
Atlassian,https://www.crunchbase.com/organization/atlassian,Software,"Sydney, New South Wales, Australia","Atlassian provides collaboration software for teams with products including JIRA, Confluence, HipChat, Bitbucket, and Stash.",163,"Collaboration, Developer Tools, Enterprise Software",1001-5000,2,2,IPO,"Apr 8, 2014","$150,000,000",Secondary Market,,,,"$210,000,000",Public,"Dec 10, 2015",,"$462,000,000","$4,400,000,000",Made Acquisitions,Active,2002,,For Profit,,,2,4,1,1,1,1,http://www.atlassian.com,,,
Complex,https://www.crunchbase.com/organization/complex,"Community and Lifestyle, Content and Publishing, Media and Entertainment","New York, New York, United States","Complex is an online magazine that features articles about music, styles, pop culture, sports, and sneakers.",258,"Lifestyle, Printing, Publishing",251-500,1,4,M&A,"Sep 22, 2015","$21,000,000",Venture - Series Unknown,"$21,000,000",Venture - Series Unknown,"$60,533,695","$60,533,695",Private,,,,,"Made Acquisitions, Was Acquired",Active,2000,,For Profit,,,3,5,,,,,http://www.complex.com/,,,
comScore,https://www.crunchbase.com/organization/comscore,Data and Analytics,"Reston, Virginia, United States","comScore is a cross-platform measurement company that measures audiences, brands, and consumer behavior.",275,"Consumer, Test and Measurement",1001-5000,3,6,IPO,"Dec 24, 2015","$300,000,000",Post-IPO Equity,"$300,000,000",Post-IPO Equity,"$389,639,769","$389,639,769",Public,"Jun 28, 2007",,"$87,400,000",,Made Acquisitions,Active,"Aug 1, 1999",,For Profit,,,3,14,1,,,1,http://www.comscore.com,,,
Trulia,https://www.crunchbase.com/organization/trulia,"Apps, Commerce and Shopping, Internet Services, Mobile, Real Estate, Software","San Francisco, California, United States",Trulia is an online real estate platform providing information on properties and real estate professionals for home buyers and more.,323,"Internet, Mobile Apps, Real Estate, Rental",501-1000,2,5,M&A,"Dec 18, 2013","$222,300,000",Post-IPO Debt,"$15,000,000",Series D,"$32,800,000","$255,100,000",Public,"Sep 20, 2012",,"$102,000,000","$448,403,118","Made Acquisitions, Was Acquired",Active,"May 1, 2004",,For Profit,,,3,8,,,,,http://trulia.com,,,
Cloudera,https://www.crunchbase.com/organization/cloudera,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Software","Palo Alto, California, United States",Cloudera is an enterprise software company that provides Apache Hadoop-based software and training to data-driven enterprises.,331,"Analytics, Big Data, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Enterprise Software, Machine Learning, Open Source",1001-5000,4,11,IPO,"Dec 16, 2016",,Secondary Market,,Venture - Series Unknown,"$1,041,000,000","$1,041,000,000",Public,"Apr 28, 2017",,"$225,000,000","$1,900,000,000",Made Acquisitions,Active,"Oct 13, 2008",,For Profit,,,6,20,,,,,http://www.cloudera.com,,,
Xero,https://www.crunchbase.com/organization/xero,"Financial Services, Lending and Investments, Payments, Professional Services, Software","Wellington, Wellington, New Zealand","Xero provides beautiful cloud accounting software for accounting professionals and small businesses, with over 600,000 global customers",349,"Accounting, Banking, Billing, Collaboration, Finance, FinTech, Personal Finance, SaaS, Software",1001-5000,2,8,IPO,"Apr 18, 2017","$26,400,000",Post-IPO Equity,"$26,400,000",Post-IPO Equity,"$381,395,300","$381,395,300",Public,"Jun 15, 2007",,,,Made Acquisitions,Active,"Jul 1, 2006",,For Profit,,,4,7,,,,,http://xero.com,,,
