Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Ring,https://www.crunchbase.com/organization/ring,"Consumer Electronics, Hardware, Privacy and Security, Real Estate","Santa Monica, California, United States",Ring is an outdoor home security company that provides homeowners a line of preventative outdoor security doorbells and cameras.,14,2012,Active,,For Profit,,,,,,,1,501-1000,6,M&A,"Jan 25, 2017","$109,000,000",Series D,"$109,000,000",Series D,"$209,200,000","$209,200,000",8,20,"Made Acquisitions, Was Acquired",Private,,,,
Square,https://www.crunchbase.com/organization/square,"Financial Services, Hardware, Mobile, Payments, Software","San Francisco, California, United States",Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.,33,"Feb 1, 2009",Active,,For Profit,,,11,11,,2,2,1001-5000,7,IPO,"Oct 3, 2014","$150,000,000",Series E,"$150,000,000",Series E,"$490,500,000","$590,500,000",4,38,Made Acquisitions,Public,"Nov 19, 2015",,"$2,900,000,000","$243,000,000"
Groupon,https://www.crunchbase.com/organization/groupon,"Advertising, Commerce and Shopping, Internet Services, Media and Entertainment, Sales and Marketing","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,79,"Nov 11, 2008",Active,,For Profit,,,4,6,2,1,9,1001-5000,7,IPO,"Apr 4, 2016","$250,000,000",Post-IPO Equity,"$250,000,000",Post-IPO Equity,"$1,387,000,000","$1,387,000,000",4,20,Made Acquisitions,Public,"Nov 4, 2011",,"$12,708,067,040","$700,000,000"
Dollar Shave Club,https://www.crunchbase.com/organization/dollar-shave-club,"Commerce and Shopping, Internet Services","Santa Monica, California, United States","Dollar Shave Club makes and delivers everything you need to look, feel, and shave like a million bucks.",91,2011,Active,,For Profit,,,,,,,2,101-250,6,M&A,"Nov 19, 2015","$90,700,000",Series D,"$90,700,000",Series D,"$163,500,000","$163,500,000",5,24,Was Acquired,Private,,,,
Symantec,https://www.crunchbase.com/organization/symantec,"Consumer Electronics, Hardware, Information Technology, Privacy and Security","Mountain View, California, United States","Symantec provides security, storage, and systems management solutions that help consumers secure and manage their information.",100,1982,Active,,For Profit,,,12,17,6,10,1,10001+,3,IPO,"Feb 4, 2016","$500,000,000",Post-IPO Equity,"$500,000,000",Post-IPO Equity,"$503,000,000","$503,000,000",3,3,Made Acquisitions,Public,"Jun 30, 1989",,,
Phantom,https://www.crunchbase.com/organization/phantom-cyber,"Information Technology, Privacy and Security","Palo Alto, California, United States","Phantom is a purpose-built, community-powered security automation, and orchestration platform.",182,2014,Active,,For Profit,,,,,,,2,11-50,3,M&A,"Jan 10, 2017","$13,500,000",Series B,"$13,500,000",Series B,"$22,700,000","$22,700,000",2,10,Was Acquired,Private,,,,
Shazam,https://www.crunchbase.com/organization/shazam,"Internet Services, Media and Entertainment, Mobile, Music and Audio, Platforms, Software","London, England, United Kingdom","Shazam offers a mobile app that connects hundreds of millions of people around the world to the content music, artists and brands they love.",265,"May 22, 2000",Active,,For Profit,,,,,,,4,101-250,12,M&A,"Feb 26, 2015","$30,000,000",Series F,"$30,000,000",Series F,"$143,500,000","$143,500,000",4,12,"Made Acquisitions, Was Acquired",Private,,,,
AppDynamics,https://www.crunchbase.com/organization/appdynamics,"Data and Analytics, Information Technology","San Francisco, California, United States",AppDynamics develops application performance management (APM) solutions that deliver problem resolution for highly distributed applications.,307,"Apr 1, 2008",Active,,For Profit,,,,,,,2,501-1000,11,M&A,"Dec 20, 2016",,Secondary Market,"$158,000,000",Series F,"$314,500,000","$364,500,000",9,21,"Made Acquisitions, Was Acquired",Private,,,,
Intuit,https://www.crunchbase.com/organization/intuit,"Financial Services, Professional Services","Mountain View, California, United States","Intuit offers business and financial management solutions for SMBs, financial institutions, consumers, and accounting professionals.",319,1983,Active,,For Profit,,,9,12,1,4,2,5001-10000,3,IPO,"Jan 19, 2011","$6,700,000",Post-IPO Equity,"$6,700,000",Post-IPO Equity,"$18,851,000","$18,851,000",3,3,Made Acquisitions,Public,"Mar 19, 1993",,,
Lending Club,https://www.crunchbase.com/organization/lendingclub,"Financial Services, Lending and Investments","San Francisco, California, United States",Lending Club is an online financial community that brings together creditworthy borrowers and savvy investors.,423,2007,Active,,For Profit,,,,,,,2,501-1000,14,IPO,"Apr 9, 2017",,Post-IPO Equity,,Post-IPO Equity,"$160,230,000","$392,230,000",8,23,Made Acquisitions,Public,"Dec 11, 2014",,"$5,400,000,000","$865,500,000"
