Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Groupon,https://www.crunchbase.com/organization/groupon,"Advertising, Commerce and Shopping, Internet Services, Media and Entertainment, Sales and Marketing","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,79,"Nov 11, 2008",Active,,For Profit,,,4,6,2,1,9,1001-5000,7,IPO,"Apr 4, 2016","$250,000,000",Post-IPO Equity,"$250,000,000",Post-IPO Equity,"$1,387,000,000","$1,387,000,000",4,20,Made Acquisitions,Public,"Nov 4, 2011",,"$12,708,067,040","$700,000,000"
Workday,https://www.crunchbase.com/organization/workday,"Financial Services, Software","Pleasanton, California, United States",Workday provides SaaS-based enterprise solutions for a company's human resources and financial management activities.,229,"Mar 1, 2005",Active,,For Profit,,,3,3,1,1,2,5001-10000,6,IPO,"Oct 24, 2011","$85,000,000",Series F,"$85,000,000",Series F,"$230,550,000","$230,550,000",5,8,Made Acquisitions,Public,"Oct 12, 2012",,"$4,500,000,000","$637,000,000"
MuleSoft,https://www.crunchbase.com/organization/mulesoft,"Apps, Financial Services, Software","San Francisco, California, United States",MuleSoft is a provider of the leading platform for building application networks.,244,2006,Active,,For Profit,,,,,,,2,1001-5000,7,IPO,"May 19, 2015","$128,000,000",Series G,"$128,000,000",Series G,"$259,000,000","$259,000,000",6,15,Made Acquisitions,Public,"Mar 18, 2017",,"$2,900,000,000","$221,000,000"
Vonage,https://www.crunchbase.com/organization/vonage,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Holmdel, New Jersey, United States",Vonage offers VoIP services that enable anyone to make and receive calls from a touch tone telephone by using a broadband connection.,680,2001,Active,,,,,,,,,1,5001-10000,6,IPO,"Aug 13, 2014","$225,000,000",Post-IPO Debt,"$200,000,000",Series E,"$372,000,000","$597,000,000",4,10,Made Acquisitions,Public,"May 24, 2006",,"$2,647,451,480","$531,250,000"
Myntra,https://www.crunchbase.com/organization/myntra,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services","Bangalore, Karnataka, India","Myntra is an Indian e-commerce site for buying branded footwear, apparels and accessories for men and women.",761,"Jan 1, 2007",Active,,,,,0,0,0,,3,1001-5000,11,M&A,"Mar 1, 2018","₹11,478,000,000",Private Equity,"₹11,478,000,000",Private Equity,"$334,914,530","$342,600,913",5,10,"Made Acquisitions, Was Acquired",Private,,,,
Glu Mobile,https://www.crunchbase.com/organization/glu-mobile,"Gaming, Hardware, Mobile","San Francisco, California, United States",Glu Mobile is a technology platform developing entertainment-focused freemium games for smartphones and tablet devices.,794,2001,Active,,For Profit,,,1,1,,1,1,501-1000,9,IPO,"Feb 26, 2016","$23,725,000",Post-IPO Equity,"$23,725,000",Post-IPO Equity,"$260,346,250","$260,346,250",2,11,Made Acquisitions,Public,"Mar 22, 2007",,"$327,035,678","$83,950,000"
"VeloCloud, Inc.",https://www.crunchbase.com/organization/velocloud,"Hardware, Information Technology, Internet Services, Software","Mountain View, California, United States",VeloCloud is a cloud networking services company that simplifies branch WAN networking.,"1,021",2012,Active,,For Profit,,,,,,,6,101-250,3,M&A,"Mar 2, 2017","$35,000,000",Series D,"$35,000,000",Series D,"$84,000,000","$84,000,000",5,8,Was Acquired,Private,,,,
Aerohive Networks,https://www.crunchbase.com/organization/aerohive-networks,"Hardware, Internet Services, Mobile","Sunnyvale, California, United States",Aerohive Networks develops cooperative control architecture that improves the efficiency of enterprise Wi-Fi systems.,"1,223",2006,Active,,For Profit,,,,,,,1,501-1000,6,IPO,"Jul 9, 2013","$10,000,000",Series F,"$10,000,000",Series F,"$104,952,382","$104,952,382",5,8,Made Acquisitions,Public,"Mar 28, 2014",,"$436,065,800","$75,000,000"
TESARO,https://www.crunchbase.com/organization/tesaro,"Biotechnology, Health Care, Science and Engineering","Waltham, Massachusetts, United States",TESARO is an oncology-focused biopharmaceutical company identifying better cancer therapies to improve the lives of patients with cancer.,"1,497","Mar 1, 2010",Active,,For Profit,,,,,,,2,101-250,5,IPO,"Apr 18, 2016","$49,999,960",Post-IPO Equity,"$49,999,960",Post-IPO Equity,"$456,999,875","$456,999,875",3,10,,Public,"Jun 28, 2012",,"$360,000,000","$81,000,000"
Care.com,https://www.crunchbase.com/organization/care-com,"Commerce and Shopping, Education, Health Care","Waltham, Massachusetts, United States","Care.com is an online web portal for finding suitable caregiver services for child care, senior care, housekeeping, pet care, and more.","1,502","Oct 1, 2006",Active,,For Profit,,,,,,,3,501-1000,7,IPO,"Jun 29, 2016","$46,350,000",Post-IPO Equity,"$46,350,000",Post-IPO Equity,"$156,850,000","$156,850,000",3,10,Made Acquisitions,Public,"Jan 27, 2014",,"$554,000,000","$91,000,000"
