Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Grant - EV-Box,https://www.crunchbase.com/funding_round/ev-box-grant--ae2b8c0a,EV-Box,https://www.crunchbase.com/organization/ev-box,Grant,"$15,050","Dec 16, 2016",,,No,1,
Grant - M.J. Bradley & Associates,https://www.crunchbase.com/funding_round/m-j-bradley-associates-grant--2ee65524,M.J. Bradley & Associates,https://www.crunchbase.com/organization/m-j-bradley-associates,Grant,"$75,287","Oct 22, 2016",,,No,1,
Grant - Hydronic Specialty Supply,https://www.crunchbase.com/funding_round/hydronic-specialty-supply-grant--953e92aa,Hydronic Specialty Supply,https://www.crunchbase.com/organization/hydronic-specialty-supply,Grant,"$283,700","Oct 4, 2016",,,No,1,
Grant - R-Display & Lighting,https://www.crunchbase.com/funding_round/r-display-lighting-grant--883addb0,R-Display & Lighting,https://www.crunchbase.com/organization/r-display-lighting,Grant,"$334,000","Sep 30, 2016",,,No,1,
Grant - LED Specialists,https://www.crunchbase.com/funding_round/led-specialists-grant--cacc143a,LED Specialists,https://www.crunchbase.com/organization/led-specialists,Grant,"$244,236","Aug 26, 2016",,,No,1,
Grant - Taitem,https://www.crunchbase.com/funding_round/taitem-grant--f70c9a36,Taitem,https://www.crunchbase.com/organization/taitem,Grant,"$49,986","Aug 19, 2016",,,No,1,
Grant - International Electronic Machines,https://www.crunchbase.com/funding_round/iem-grant--0fa684ba,International Electronic Machines,https://www.crunchbase.com/organization/iem,Grant,"$399,463","Jul 29, 2016",,,No,1,
Grant - Green Charge Networks,https://www.crunchbase.com/funding_round/green-charge-networks-grant--602137be,Green Charge Networks,https://www.crunchbase.com/organization/green-charge-networks,Grant,"$250,000","Jul 15, 2016",,,No,1,
Grant - Energetics,https://www.crunchbase.com/funding_round/energetics-grant--40760966,Energetics,https://www.crunchbase.com/organization/energetics,Grant,"$100,000","Jul 15, 2016",,,No,1,
Grant - Gas Technology Institute,https://www.crunchbase.com/funding_round/gas-technology-institute-grant--a14a9292,Gas Technology Institute,https://www.crunchbase.com/organization/gas-technology-institute,Grant,"$273,111","Jun 28, 2016",,,No,1,
