Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Funding Round - BEAM,https://www.crunchbase.com/funding_round/beam-connect-undisclosed--6265512d,BEAM,https://www.crunchbase.com/organization/beam-connect,Funding Round,,"Feb 24, 2018",,,Yes,1,
Seed Round - Hexafly,https://www.crunchbase.com/funding_round/hexafly-seed--6527ae53,Hexafly,https://www.crunchbase.com/organization/hexafly,Seed,"€1,100,000","Feb 14, 2018",Seed,,Yes,6,1
Seed Round - Flow Neuroscience,https://www.crunchbase.com/funding_round/flow-neuroscience-seed--c95fd698,Flow Neuroscience,https://www.crunchbase.com/organization/flow-neuroscience,Seed,"$1,100,000","Jan 25, 2018",Seed,,Yes,3,1
Series A - JUMP Bikes,https://www.crunchbase.com/funding_round/jump-bikes-series-a--1a9d83de,JUMP Bikes,https://www.crunchbase.com/organization/jump-bikes,Series A,"$10,000,000","Jan 16, 2018",Early Stage Venture,,Yes,7,4
Seed Round - The CareVoice,https://www.crunchbase.com/funding_round/the-carevoice-seed--cb629f47,The CareVoice,https://www.crunchbase.com/organization/the-carevoice,Seed,"$2,170,000","Jan 16, 2018",Seed,,Yes,2,2
Seed Round - Magellan Life Sciences ,https://www.crunchbase.com/funding_round/magellan-life-sciences-private-limited-seed--fc4aba5b,Magellan Life Sciences ,https://www.crunchbase.com/organization/magellan-life-sciences-private-limited,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Daeki,https://www.crunchbase.com/funding_round/daekitech-seed--86596310,Daeki,https://www.crunchbase.com/organization/daekitech,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Neurocreate,https://www.crunchbase.com/funding_round/neurocreate-seed--1f82a312,Neurocreate,https://www.crunchbase.com/organization/neurocreate,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Vivokey Technologies,https://www.crunchbase.com/funding_round/vivokey-technologies-seed--7a2739e6,Vivokey Technologies,https://www.crunchbase.com/organization/vivokey-technologies,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Chronomics,https://www.crunchbase.com/funding_round/chronomics-seed--3187b83a,Chronomics,https://www.crunchbase.com/organization/chronomics,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Pili,https://www.crunchbase.com/funding_round/pili-seed--ac4f138f,Pili,https://www.crunchbase.com/organization/pili,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Algiknit,https://www.crunchbase.com/funding_round/algiknit-seed--2918e8ea,Algiknit,https://www.crunchbase.com/organization/algiknit,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Biomimetic Solutions,https://www.crunchbase.com/funding_round/biomimetic-solutions-seed--eca656e5,Biomimetic Solutions,https://www.crunchbase.com/organization/biomimetic-solutions,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - VisusNano,https://www.crunchbase.com/funding_round/visusnano-seed--fbb98a9c,VisusNano,https://www.crunchbase.com/organization/visusnano,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - DNALite Therapeutics,https://www.crunchbase.com/funding_round/dnalite-therapeutics-seed--90e9a7cb,DNALite Therapeutics,https://www.crunchbase.com/organization/dnalite-therapeutics,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - Encelo Laboratories,https://www.crunchbase.com/funding_round/encelo-laboratories-seed--59978182,Encelo Laboratories,https://www.crunchbase.com/organization/encelo-laboratories,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Seed Round - CortiCare,https://www.crunchbase.com/funding_round/corticare-2-seed--0e657984,CortiCare,https://www.crunchbase.com/organization/corticare-2,Seed,,"Dec 22, 2017",Seed,,Yes,2,1
Series A - Ava Winery,https://www.crunchbase.com/funding_round/ava-winery-series-a--51f84a43,Ava Winery,https://www.crunchbase.com/organization/ava-winery,Series A,,"Dec 21, 2017",Early Stage Venture,,Yes,2,1
Seed Round - Feel,https://www.crunchbase.com/funding_round/sentio-solutions-inc-seed--d2f40205,Feel,https://www.crunchbase.com/organization/sentio-solutions-inc,Seed,,"Dec 20, 2017",Seed,,Yes,2,
Convertible Note - Criam,https://www.crunchbase.com/funding_round/criam-convertible-note--5d686313,Criam,https://www.crunchbase.com/organization/criam,Convertible Note,,"Dec 19, 2017",,,No,2,1
Seed Round - BeeFlow,https://www.crunchbase.com/funding_round/beeflow-seed--edd8a572,BeeFlow,https://www.crunchbase.com/organization/beeflow,Seed,"$250,000","Dec 19, 2017",Seed,,Yes,2,1
Convertible Note - Futurefleet,https://www.crunchbase.com/funding_round/futurefleet-convertible-note--0dda48e1,Futurefleet,https://www.crunchbase.com/organization/futurefleet,Convertible Note,,"Dec 19, 2017",,,No,1,1
Seed Round - Ell-iot,https://www.crunchbase.com/funding_round/ell-iot-seed--08c9e313,Ell-iot,https://www.crunchbase.com/organization/ell-iot,Seed,,"Dec 15, 2017",Seed,,Yes,2,1
Convertible Note - Next Thing Co,https://www.crunchbase.com/funding_round/next-thing-convertible-note--bfa9acf8,Next Thing Co,https://www.crunchbase.com/organization/next-thing,Convertible Note,,"Dec 15, 2017",,,No,2,1
Convertible Note - Restored Hearing,https://www.crunchbase.com/funding_round/restored-hearing-ltd-convertible-note--9bfab60f,Restored Hearing,https://www.crunchbase.com/organization/restored-hearing-ltd,Convertible Note,,"Dec 15, 2017",,,No,1,1
Seed Round - Preemadonna,https://www.crunchbase.com/funding_round/preemadonna-seed--01597fa1,Preemadonna,https://www.crunchbase.com/organization/preemadonna,Seed,,"Dec 13, 2017",Seed,,Yes,2,1
Seed Round - Mezomax,https://www.crunchbase.com/funding_round/mezomax-seed--bba03579,Mezomax,https://www.crunchbase.com/organization/mezomax,Seed,,"Dec 11, 2017",Seed,,Yes,2,1
Convertible Note - GIROPTIC,https://www.crunchbase.com/funding_round/giroptic-convertible-note--8fa966a6,GIROPTIC,https://www.crunchbase.com/organization/giroptic,Convertible Note,,"Dec 11, 2017",,,No,1,1
Seed Round - The Not Company,https://www.crunchbase.com/funding_round/the-not-company-seed--88694d90,The Not Company,https://www.crunchbase.com/organization/the-not-company,Seed,,"Dec 7, 2017",Seed,,Yes,2,1
Convertible Note - Lynq,https://www.crunchbase.com/funding_round/awearable-apparel-convertible-note--40cb8538,Lynq,https://www.crunchbase.com/organization/awearable-apparel,Convertible Note,,"Dec 7, 2017",,,No,2,1
Seed Round - RadioCut,https://www.crunchbase.com/funding_round/radiocut-seed--f64832b9,RadioCut,https://www.crunchbase.com/organization/radiocut,Seed,,"Dec 6, 2017",Seed,,Yes,2,1
Seed Round - Sun Genomics,https://www.crunchbase.com/funding_round/sun-genomics-seed--3e60bcb7,Sun Genomics,https://www.crunchbase.com/organization/sun-genomics,Seed,,"Dec 6, 2017",Seed,,Yes,2,1
Convertible Note - Style Seller,https://www.crunchbase.com/funding_round/style-seller-convertible-note--ebc4a802,Style Seller,https://www.crunchbase.com/organization/style-seller,Convertible Note,,"Dec 6, 2017",,,No,2,1
Seed Round - KitchBot,https://www.crunchbase.com/funding_round/kitchbot-seed--2362bf5f,KitchBot,https://www.crunchbase.com/organization/kitchbot,Seed,,"Nov 29, 2017",Seed,,Yes,2,1
Seed Round - Playbean,https://www.crunchbase.com/funding_round/playbean-seed--03577e69,Playbean,https://www.crunchbase.com/organization/playbean,Seed,,"Nov 27, 2017",Seed,,Yes,2,1
Convertible Note - Prynt,https://www.crunchbase.com/funding_round/prynt-convertible-note--e59e24fa,Prynt,https://www.crunchbase.com/organization/prynt,Convertible Note,,"Nov 27, 2017",,,No,2,1
Seed Round - NURO CORP.,https://www.crunchbase.com/funding_round/nuro-corp-seed--99f57e4b,NURO CORP.,https://www.crunchbase.com/organization/nuro-corp,Seed,,"Nov 27, 2017",Seed,"$3,000,000",Yes,2,1
Seed Round - Jointech,https://www.crunchbase.com/funding_round/jointech-seed--db3b70fa,Jointech,https://www.crunchbase.com/organization/jointech,Seed,,"Nov 24, 2017",Seed,,Yes,2,1
Convertible Note - Futurefleet,https://www.crunchbase.com/funding_round/futurefleet-convertible-note--e806f1d7,Futurefleet,https://www.crunchbase.com/organization/futurefleet,Convertible Note,,"Nov 24, 2017",,,No,1,1
Venture Round - KAMARQ,https://www.crunchbase.com/funding_round/kamarqjp-series-unknown--29aef2af,KAMARQ,https://www.crunchbase.com/organization/kamarqjp,Venture - Series Unknown,"¥400,000,000","Nov 23, 2017",,,Yes,3,1
Venture Round - Minut,https://www.crunchbase.com/funding_round/minut-series-unknown--527fa64d,Minut,https://www.crunchbase.com/organization/minut,Venture - Series Unknown,"SEK20,000,000","Nov 22, 2017",,,Yes,5,1
Seed Round - Pillsy,https://www.crunchbase.com/funding_round/pillsy-4-seed--2ab6e273,Pillsy,https://www.crunchbase.com/organization/pillsy-4,Seed,,"Nov 21, 2017",Seed,,Yes,3,1
Seed Round - GetBizzy,https://www.crunchbase.com/funding_round/bizzy-coffee-seed--20c6a0f2,GetBizzy,https://www.crunchbase.com/organization/bizzy-coffee,Seed,,"Nov 20, 2017",Seed,,Yes,2,1
Seed Round - Srnalytics,https://www.crunchbase.com/funding_round/srnalytics-seed--3f846f9e,Srnalytics,https://www.crunchbase.com/organization/srnalytics,Seed,,"Nov 14, 2017",Seed,,Yes,2,1
Convertible Note - Cell-Free Technology,https://www.crunchbase.com/funding_round/cell-free-technology-convertible-note--dca00c49,Cell-Free Technology,https://www.crunchbase.com/organization/cell-free-technology,Convertible Note,,"Nov 13, 2017",,,No,2,1
Venture Round - AYLIEN,https://www.crunchbase.com/funding_round/aylien-series-unknown--a4440f07,AYLIEN,https://www.crunchbase.com/organization/aylien,Venture - Series Unknown,"€2,000,000","Nov 8, 2017",,,Yes,3,
Seed Round - Vox Technology,https://www.crunchbase.com/funding_round/vox-technology-seed--73c093ee,Vox Technology,https://www.crunchbase.com/organization/vox-technology,Seed,,"Nov 8, 2017",Seed,,Yes,2,1
Seed Round - Dogether,https://www.crunchbase.com/funding_round/dogether-seed--0d4aa68f,Dogether,https://www.crunchbase.com/organization/dogether,Seed,,"Nov 8, 2017",Seed,,Yes,2,1
Seed Round - Dahlia Biosciences,https://www.crunchbase.com/funding_round/dahlia-biosciences-seed--2ee7414a,Dahlia Biosciences,https://www.crunchbase.com/organization/dahlia-biosciences,Seed,,"Nov 7, 2017",Seed,,Yes,2,1
Seed Round - Wazer,https://www.crunchbase.com/funding_round/wazer-2-seed--f5df7548,Wazer,https://www.crunchbase.com/organization/wazer-2,Seed,,"Nov 6, 2017",Seed,,Yes,2,1
