Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Number of Investors,Number of Partner Investors,Equity Only Funding
Series B - DJI,https://www.crunchbase.com/funding_round/dji-series-b--a359e9f4,DJI,https://www.crunchbase.com/organization/dji,Series B,"$75,000,000","May 5, 2015",Early Stage Venture,"$7,925,000,000",1,1,Yes
Series G - Flipkart,https://www.crunchbase.com/funding_round/flipkart-series-g--af6ac1c9,Flipkart,https://www.crunchbase.com/organization/flipkart,Series G,"$1,000,000,000","Jul 29, 2014",Late Stage Venture,"$6,000,000,000",8,3,Yes
Series G - Slack,https://www.crunchbase.com/funding_round/slack-series-g--0e40e9bd,Slack,https://www.crunchbase.com/organization/slack,Series G,"$250,000,000","Sep 17, 2017",Late Stage Venture,"$4,850,000,000",3,1,Yes
Series B - Dropbox,https://www.crunchbase.com/funding_round/dropbox-series-b--ec004374,Dropbox,https://www.crunchbase.com/organization/dropbox,Series B,"$250,000,000","Oct 18, 2011",Early Stage Venture,"$3,750,000,000",14,7,Yes
Series F - Slack,https://www.crunchbase.com/funding_round/slack-series-f--c196894f,Slack,https://www.crunchbase.com/organization/slack,Series F,"$200,000,000","Apr 1, 2016",Late Stage Venture,"$3,600,000,000",7,4,Yes
Series E - Spotify,https://www.crunchbase.com/funding_round/spotify-series-e--a478991d,Spotify,https://www.crunchbase.com/organization/spotify,Series E,"$100,000,000","Nov 15, 2012",Late Stage Venture,"$2,900,000,000",6,3,Yes
Series E - Slack,https://www.crunchbase.com/funding_round/slack-series-e--049a00a0,Slack,https://www.crunchbase.com/organization/slack,Series E,"$160,000,000","Apr 16, 2015",Late Stage Venture,"$2,640,000,000",12,13,Yes
Series C - Qualtrics,https://www.crunchbase.com/funding_round/qualtrics-series-c--dc3c0897,Qualtrics,https://www.crunchbase.com/organization/qualtrics,Series C,"$180,000,000","Apr 12, 2017",Late Stage Venture,"$2,320,000,000",3,3,Yes
Series E - Ola,https://www.crunchbase.com/funding_round/ani-technologies-series-e--bbce7c1d,Ola,https://www.crunchbase.com/organization/ani-technologies,Series E,"$400,000,000","Apr 15, 2015",Late Stage Venture,"$2,100,000,000",9,2,Yes
Series F - Deliveroo,https://www.crunchbase.com/funding_round/deliveroo-series-f--5096a916,Deliveroo,https://www.crunchbase.com/organization/deliveroo,Series F,"$385,000,000","Sep 24, 2017",Late Stage Venture,"$1,615,000,000",6,4,Yes
Series E - DocuSign,https://www.crunchbase.com/funding_round/docusign-series-e--f25dbe19,DocuSign,https://www.crunchbase.com/organization/docusign,Series E,"$85,000,000","Mar 4, 2014",Late Stage Venture,"$1,515,000,000",14,8,Yes
Series D - BlaBlaCar,https://www.crunchbase.com/funding_round/blablacar-series-d--1387f0ad,BlaBlaCar,https://www.crunchbase.com/organization/blablacar,Series D,"$200,000,000","Sep 17, 2015",Late Stage Venture,"$1,400,000,000",5,4,Yes
Series E - Flipkart,https://www.crunchbase.com/funding_round/flipkart-series-e--299d4ccf,Flipkart,https://www.crunchbase.com/organization/flipkart,Series E,"$200,000,000","Jul 10, 2013",Late Stage Venture,"$1,300,000,000",4,3,Yes
Series C - Groupon,https://www.crunchbase.com/funding_round/groupon-series-c--7205cb6e,Groupon,https://www.crunchbase.com/organization/groupon,Series C,"$135,000,000","Apr 18, 2010",Late Stage Venture,"$1,165,000,000",5,6,Yes
Series E - Sunrun,https://www.crunchbase.com/funding_round/sunrun-series-e--803a25c4,Sunrun,https://www.crunchbase.com/organization/sunrun,Series E,"$150,000,000","May 15, 2014",Late Stage Venture,"$1,150,000,000",4,4,Yes
Series D - Illumio,https://www.crunchbase.com/funding_round/illumio-series-d--36e1dc28,Illumio,https://www.crunchbase.com/organization/illumio,Series D,"$125,000,000","Jun 7, 2017",Late Stage Venture,"$1,000,000,000",8,3,Yes
Series D - Slack,https://www.crunchbase.com/funding_round/slack-series-d--9a3339ee,Slack,https://www.crunchbase.com/organization/slack,Series D,"$120,000,000","Oct 31, 2014",Late Stage Venture,"$920,000,000",6,9,Yes
