Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Venture Round - Divvy Homes,https://www.crunchbase.com/funding_round/divvy-homes-series-unknown--874b32e6,Divvy Homes,https://www.crunchbase.com/organization/divvy-homes,Venture - Series Unknown,"$7,000,000","Jan 25, 2018",,,Yes,3,
Series B - Front App,https://www.crunchbase.com/funding_round/front-app-series-b--5de23e96,Front App,https://www.crunchbase.com/organization/front-app,Series B,"$66,000,000","Jan 24, 2018",Early Stage Venture,,Yes,4,4
Series C - CircleCI,https://www.crunchbase.com/funding_round/circle-ci-series-c--13c51263,CircleCI,https://www.crunchbase.com/organization/circle-ci,Series C,"$31,000,000","Jan 17, 2018",Late Stage Venture,,Yes,7,1
Series D - Remitly,https://www.crunchbase.com/funding_round/remitly-series-d--4553f3bb,Remitly,https://www.crunchbase.com/organization/remitly,Series D,"$115,000,000","Oct 31, 2017",Late Stage Venture,,Yes,4,2
Seed Round - NumberAI,https://www.crunchbase.com/funding_round/numberai-seed--471c88b9,NumberAI,https://www.crunchbase.com/organization/numberai,Seed,"$1,600,000","Oct 12, 2017",Seed,,Yes,1,
Venture Round - Loftium,https://www.crunchbase.com/funding_round/loftium-series-unknown--033e3e8d,Loftium,https://www.crunchbase.com/organization/loftium,Venture - Series Unknown,"$2,500,000","Sep 20, 2017",,,Yes,3,
Series C - Patreon,https://www.crunchbase.com/funding_round/patreon-series-c--df54d483,Patreon,https://www.crunchbase.com/organization/patreon,Series C,"$60,000,000","Sep 14, 2017",Late Stage Venture,"$390,000,000",Yes,5,2
Series A - Memphis Meats,https://www.crunchbase.com/funding_round/memphis-meats-series-a--b9a65ea4,Memphis Meats,https://www.crunchbase.com/organization/memphis-meats,Series A,"$17,000,000","Aug 23, 2017",Early Stage Venture,,Yes,14,2
"Series B - Lumity, Inc.",https://www.crunchbase.com/funding_round/lumity-inc-series-b--63d9d07b,"Lumity, Inc.",https://www.crunchbase.com/organization/lumity-inc,Series B,"$19,000,000","Aug 23, 2017",Early Stage Venture,,Yes,4,1
"Series B - Forward Networks, Inc.",https://www.crunchbase.com/funding_round/forward-networks-series-b--b096accf,"Forward Networks, Inc.",https://www.crunchbase.com/organization/forward-networks,Series B,"$16,000,000","Aug 23, 2017",Early Stage Venture,,Yes,3,2
Venture Round - Pro.com,https://www.crunchbase.com/funding_round/pro-com-series-unknown--f27376ba,Pro.com,https://www.crunchbase.com/organization/pro-com,Venture - Series Unknown,"$10,000,000","Aug 8, 2017",,,Yes,4,2
Series B - Azuqua,https://www.crunchbase.com/funding_round/azuqua-series-b--712274b5,Azuqua,https://www.crunchbase.com/organization/azuqua,Series B,"$10,800,000","Aug 1, 2017",Early Stage Venture,,Yes,3,3
"Series C - LendKey Technologies, Inc.",https://www.crunchbase.com/funding_round/lendkey-technologies-inc-series-c--1fecc813,"LendKey Technologies, Inc.",https://www.crunchbase.com/organization/lendkey-technologies-inc,Series C,"$8,000,000","Jul 20, 2017",Late Stage Venture,,Yes,5,3
Series C - Shift,https://www.crunchbase.com/funding_round/shiftcars-series-c--0f6703f8,Shift,https://www.crunchbase.com/organization/shiftcars,Series C,"$38,000,000","Jul 19, 2017",Late Stage Venture,,Yes,10,6
Series B - Wellframe,https://www.crunchbase.com/funding_round/wellframe-series-b--db32c2dc,Wellframe,https://www.crunchbase.com/organization/wellframe,Series B,"$15,000,000","Jul 12, 2017",Early Stage Venture,,Yes,2,2
Series A - Vineti,https://www.crunchbase.com/funding_round/vineti-series-a--b396fcd1,Vineti,https://www.crunchbase.com/organization/vineti,Series A,"$13,750,000","Jun 20, 2017",Early Stage Venture,,Yes,4,
Seed Round - Xealth,https://www.crunchbase.com/funding_round/xealth-seed--fdd6af5d,Xealth,https://www.crunchbase.com/organization/xealth,Seed,"$8,500,000","Jun 13, 2017",Seed,,Yes,5,
Series A - Mythic,https://www.crunchbase.com/funding_round/isocline-series-a--804cfa9f,Mythic,https://www.crunchbase.com/organization/isocline,Series A,"$10,097,969","Jun 5, 2017",Early Stage Venture,,Yes,4,2
Series D - Livongo,https://www.crunchbase.com/funding_round/livongo-health-series-d--6eb6231a,Livongo,https://www.crunchbase.com/organization/livongo-health,Series D,"$52,500,000","Mar 16, 2017",Late Stage Venture,,Yes,13,5
Series A - Imagen Technologies,https://www.crunchbase.com/funding_round/imagentechnologies-series-a--d6b86475,Imagen Technologies,https://www.crunchbase.com/organization/imagentechnologies,Series A,"$15,000,000","Mar 15, 2017",Early Stage Venture,,Yes,11,1
Angel Round - Loftium,https://www.crunchbase.com/funding_round/loftium-angel--faa711d8,Loftium,https://www.crunchbase.com/organization/loftium,Angel,,"Mar 1, 2017",Seed,,Yes,3,1
Series E - Rethink Robotics,https://www.crunchbase.com/funding_round/rethink-robotics-series-e--2ef112cb,Rethink Robotics,https://www.crunchbase.com/organization/rethink-robotics,Series E,"$18,022,881","Jan 5, 2017",Late Stage Venture,,Yes,9,4
Series A - LaunchDarkly,https://www.crunchbase.com/funding_round/launchdarkly-series-a--e0dbf0e6,LaunchDarkly,https://www.crunchbase.com/organization/launchdarkly,Series A,"$8,700,000","Dec 20, 2016",Early Stage Venture,,Yes,3,1
Venture Round - ezhome,https://www.crunchbase.com/funding_round/ezhome-series-unknown--8cde79c3,ezhome,https://www.crunchbase.com/organization/ezhome,Venture - Series Unknown,,"Dec 1, 2016",,,Yes,2,
Series A - BetterUp,https://www.crunchbase.com/funding_round/betterup-series-a--93f46db7,BetterUp,https://www.crunchbase.com/organization/betterup,Series A,"$12,900,000","Nov 16, 2016",Early Stage Venture,,Yes,6,1
Series B - Periscope Data,https://www.crunchbase.com/funding_round/periscope-inc-series-b--5a2deb59,Periscope Data,https://www.crunchbase.com/organization/periscope-inc,Series B,"$25,000,000","Nov 4, 2016",Early Stage Venture,"$100,000,000",Yes,5,5
Series B - Zymergen,https://www.crunchbase.com/funding_round/zymergen-series-b--2eec442e,Zymergen,https://www.crunchbase.com/organization/zymergen,Series B,"$130,000,000","Oct 11, 2016",Early Stage Venture,,Yes,10,1
Series A - Zoox,https://www.crunchbase.com/funding_round/zoox-series-a--c6873e7f,Zoox,https://www.crunchbase.com/organization/zoox,Series A,"$250,000,000","Oct 4, 2016",Early Stage Venture,"$800,000,000",Yes,8,2
Series B - Elation Health,https://www.crunchbase.com/funding_round/elationemr-series-b--8e8903a2,Elation Health,https://www.crunchbase.com/organization/elationemr,Series B,"$15,000,000","Aug 4, 2016",Early Stage Venture,,Yes,3,
Seed Round - Reflect,https://www.crunchbase.com/funding_round/reflect-technologies-seed--a366efd9,Reflect,https://www.crunchbase.com/organization/reflect-technologies,Seed,"$2,500,000","Jul 26, 2016",Seed,,Yes,8,1
Series A - resin.io,https://www.crunchbase.com/funding_round/resin-io-series-a--4d2fa0a0,resin.io,https://www.crunchbase.com/organization/resin-io,Series A,"$9,000,000","Jun 27, 2016",Early Stage Venture,,Yes,4,
Series B - CircleCI,https://www.crunchbase.com/funding_round/circle-ci-series-b--3af9ff00,CircleCI,https://www.crunchbase.com/organization/circle-ci,Series B,"$18,000,000","May 16, 2016",Early Stage Venture,,Yes,4,2
Series A - Diamanti,https://www.crunchbase.com/funding_round/diamanti-series-a--69c5f136,Diamanti,https://www.crunchbase.com/organization/diamanti,Series A,"$12,500,000","Apr 19, 2016",Early Stage Venture,,Yes,3,
Seed Round - Lawnmower,https://www.crunchbase.com/funding_round/lawnmower-seed--0e3ff57a,Lawnmower,https://www.crunchbase.com/organization/lawnmower,Seed,"$190,000","Apr 18, 2016",Seed,,Yes,4,
Series C - Livongo,https://www.crunchbase.com/funding_round/livongo-health-series-c--7b641dd7,Livongo,https://www.crunchbase.com/organization/livongo-health,Series C,"$49,500,000","Apr 12, 2016",Late Stage Venture,,Yes,11,4
