Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Series A - Woebot Labs,https://www.crunchbase.com/funding_round/woebot-labs-series-a--f7b68c62,Woebot Labs,https://www.crunchbase.com/organization/woebot-labs,Series A,"$8,000,000","Mar 1, 2018",Early Stage Venture,,Yes,2,
Series A - Smartcar,https://www.crunchbase.com/funding_round/smartcar-series-a--0661728a,Smartcar,https://www.crunchbase.com/organization/smartcar,Series A,"$10,000,000","Mar 1, 2018",Early Stage Venture,,Yes,2,1
Series D - Collective Health,https://www.crunchbase.com/funding_round/collectivehealth-series-d--19a80441,Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series D,"$110,000,000","Feb 28, 2018",Late Stage Venture,,Yes,6,
Series A - Senti Biosciences,https://www.crunchbase.com/funding_round/senti-biosciences-series-a--e3d478ee,Senti Biosciences,https://www.crunchbase.com/organization/senti-biosciences,Series A,"$53,000,000","Feb 27, 2018",Early Stage Venture,,Yes,11,
Series A - Greenlight Financial Technology,https://www.crunchbase.com/funding_round/greenlight-4-series-a--da236263,Greenlight Financial Technology,https://www.crunchbase.com/organization/greenlight-4,Series A,"$16,000,000","Feb 21, 2018",Early Stage Venture,,Yes,9,
Series A - Lyric,https://www.crunchbase.com/funding_round/lyric-series-a--7afe8762,Lyric,https://www.crunchbase.com/organization/lyric,Series A,"$15,500,000","Feb 20, 2018",Early Stage Venture,,Yes,4,
Series C - DataVisor,https://www.crunchbase.com/funding_round/datavisor-series-c--a3f586c7,DataVisor,https://www.crunchbase.com/organization/datavisor,Series C,"$40,000,000","Feb 9, 2018",Late Stage Venture,,Yes,3,2
Series A - Xoc Pharmaceuticals,https://www.crunchbase.com/funding_round/xoc-pharmaceuticals-series-a--8866e23b,Xoc Pharmaceuticals,https://www.crunchbase.com/organization/xoc-pharmaceuticals,Series A,"$30,000,000","Feb 6, 2018",Early Stage Venture,,Yes,1,1
Series A - Drop,https://www.crunchbase.com/funding_round/drop-loyalty-series-a--3982842d,Drop,https://www.crunchbase.com/organization/drop-loyalty,Series A,"$21,000,000","Jan 31, 2018",Early Stage Venture,,Yes,3,
Series C - FIRE1,https://www.crunchbase.com/funding_round/fire1-series-c--148daa66,FIRE1,https://www.crunchbase.com/organization/fire1,Series C,"€40,000,000","Jan 30, 2018",Late Stage Venture,,Yes,6,1
Seed Round - Aquabyte,https://www.crunchbase.com/funding_round/aquabyte-seed--7a59f08e,Aquabyte,https://www.crunchbase.com/organization/aquabyte,Seed,"$3,500,000","Jan 30, 2018",Seed,,Yes,7,3
