Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
500 Startups,https://www.crunchbase.com/organization/500-startups,"1,633",151,"Mountain View, California, United States",500 Startups is a global venture capital seed fund with a network of startup programs headquartered in Silicon Valley with over $350M AUM,Accelerator,"Early Stage Venture, Seed","1,367",On-Site,
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,"1,555",273,"Menlo Park, California, United States","Sequoia is a VC firm focused on energy, financial, enterprise, healthcare, internet, and mobile startups.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",843,,
Y Combinator,https://www.crunchbase.com/organization/y-combinator,"1,541",181,"Mountain View, California, United States","Y Combinator is a startup accelerator based in Mountain View, California.",Accelerator,"Debt, Early Stage Venture, Seed","1,336",On-Site,12
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,"1,409",275,"Menlo Park, California, United States",New Enterprise Associates is a California-based global venture capital firm that funds companies across all investment stages.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",768,,
Intel Capital,https://www.crunchbase.com/organization/intel-capital,"1,226",340,"Santa Clara, California, United States","Intel Capital is an investment firm that is focused on mergers, acquisitions, and equity investments related to tech startups.",Venture Capital,Seed,840,,
Accel Partners,https://www.crunchbase.com/organization/accel-partners,"1,154",235,"Palo Alto, California, United States",Accel is an early and growth-stage venture capital firm that powers a global community of entrepreneurs.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",603,,
SOSV,https://www.crunchbase.com/organization/sosv,"1,091",23,"Princeton, New Jersey, United States",SOSV is a venture capital firm that operates startup accelerators.,Accelerator,"Debt, Early Stage Venture, Seed",686,On-Site,16
Kleiner Perkins Caufield & Byers,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,"1,016",194,"Menlo Park, California, United States",Kleiner Perkins Caufield & Byers invests globally in internet start ups and operate an informational website filled with technology news.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",512,,
NYSERDA,https://www.crunchbase.com/organization/nyserda,998,62,"Albany, New York, United States",NYSERDA is a New York State government energy office focused on increasing the use of clean energy and energy efficiency in NYS.,Government Office,"Early Stage Venture, Grant, Non Equity Assistance, Seed",577,,
SV Angel,https://www.crunchbase.com/organization/sv-angel,804,236,"San Francisco, California, United States","SV Angel is a San Francisco-based angel firm that helps startups with business development, financing, M&A, and other strategic advice.",Micro VC,"Crowdfunding, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",683,,
Draper Fisher Jurvetson (DFJ),https://www.crunchbase.com/organization/draper-fisher-jurvetson,796,162,"Menlo Park, California, United States","Draper Fisher Jurvetson is a California-based venture capital firm that funds companies in seed, early, and growth stages.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",412,,
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,767,159,"Menlo Park, California, United States",Bessemer Venture Partners manages more than $4 billion of venture capital invested in over 130 companies around the world.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",419,,
Techstars,https://www.crunchbase.com/organization/techstars,751,98,"Boulder, Colorado, United States",Techstars is a worldwide network that helps entrepreneurs succeed.,Accelerator,"Debt, Early Stage Venture, Seed",632,On-Site,12
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,749,67,"San Francisco, California, United States","Right Side Capital Management invests in capital-efficient, seed-stage technology startups across the U.S. in every technology sector.",Micro VC,Seed,700,,
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,667,43,"Sunnyvale, California, United States",Plug and Play is a seed and early-stage investment firm focusing on technology start-ups.,Accelerator,"Early Stage Venture, Seed",560,,
Greylock Partners,https://www.crunchbase.com/organization/greylock,626,169,"Menlo Park, California, United States","Greylock Partners backs entrepreneurs who are building disruptive, market-transforming consumer and enterprise software companies.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",366,,
First Round Capital,https://www.crunchbase.com/organization/first-round-capital,626,109,"San Francisco, California, United States",First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",330,,
Lightspeed Venture Partners,https://www.crunchbase.com/organization/lightspeed-venture-partners,615,113,"Menlo Park, California, United States","Lightspeed Venture Partners is a venture capital firm that is engaged in the consumer, enterprise, technology, and cleantech markets.",Venture Capital,"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",327,,
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,610,192,"New York, New York, United States","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.","Investment Bank, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",480,,
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,586,123,"Boston, Massachusetts, United States","Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",306,,
Andreessen Horowitz,https://www.crunchbase.com/organization/andreessen-horowitz,580,94,"Menlo Park, California, United States",Andreessen Horowitz is a Silicon Valley-based venture capital firm with $2.7 billion under management. They invest from seed to growth.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",358,,
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,566,69,"Menlo Park, California, United States","Khosla Ventures is a venture capital firm that focuses on environmentally friendly tech, internet, computing, mobile, and silicon tech.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",315,,
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,554,95,"Cambridge, Massachusetts, United States",General Catalyst is a venture capital firm that makes early-stage and growth equity investments.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",304,,
Benchmark,https://www.crunchbase.com/organization/benchmark,550,135,"San Francisco, California, United States","Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, and infrastructure and enterprise software.",Venture Capital,Early Stage Venture,270,,
Venrock,https://www.crunchbase.com/organization/venrock,546,142,"Palo Alto, California, United States",Venrock is a venture capital firm investing in technology and healthcare companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",268,,
GV,https://www.crunchbase.com/organization/google-ventures,540,91,"Mountain View, California, United States","GV provides seed, venture, and growth stage funding to technology companies.",Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",362,,
Norwest Venture Partners,https://www.crunchbase.com/organization/norwest-venture-partners,538,117,"Palo Alto, California, United States",Norwest is a global venture capital and growth equity investment firm that manages more than $7.5B in capital.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",274,,
Redpoint,https://www.crunchbase.com/organization/redpoint-ventures,529,107,"Menlo Park, California, United States","Since 1999, Redpoint Ventures has partnered with visionary founders to create new markets or redefine existing ones.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",279,,
Menlo Ventures,https://www.crunchbase.com/organization/menlo-ventures,517,115,"Menlo Park, California, United States",Menlo Ventures is a venture capital firm providing capital for seed through growth technology companies in the consumer and other sectors.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",261,,
Canaan Partners,https://www.crunchbase.com/organization/canaan-partners,506,98,"Menlo Park, California, United States",Canaan Partners is an early stage venture capital firm.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",261,,
Matrix Partners,https://www.crunchbase.com/organization/matrix-partners,484,101,"San Francisco, California, United States",Matrix Partners is a California-based venture capital firm focused on seed- and early-stage investments.,Venture Capital,"Early Stage Venture, Seed",259,,
Silicon Valley Bank,https://www.crunchbase.com/organization/silicon-valley-bank,481,155,"Santa Clara, California, United States","Silicon Valley Bank works with technology, life science, cleantech, venture capital, private equity, and premium wine businesses.",Investment Bank,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",422,,
Polaris Partners,https://www.crunchbase.com/organization/polaris-partners,476,92,"Boston, Massachusetts, United States","Polaris Partners ​has a 20+ year history of partnering with ​entrepreneurs, scientists, and innovators improving the way we live and work.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",233,,
