Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Aratana Therapeutics,https://www.crunchbase.com/organization/aratana-therapeutics,"Biotechnology, Health Care, Science and Engineering","Leawood, Kansas, United States",Aratana Therapeutics develops innovative therapies for the animal health industry.,"3,511",2010,1,11-50,7,IPO,"Mar 15, 2018","$11,700,000",Post-IPO Equity,"$128,505,997"
Thin Film Electronics ASA,https://www.crunchbase.com/organization/thinfilm-electronics-asa,"Hardware, Internet Services, Mobile, Sales and Marketing","Oslo, Oslo, Norway",NFC Mobile Marketing Solutions ,"3,521",Dec 2005,,101-250,4,IPO,"Oct 20, 2017","$110,000,000",Post-IPO Equity,"$156,515,250"
Mitek Systems,https://www.crunchbase.com/organization/mitek-systems,"Commerce and Shopping, Financial Services, Mobile, Payments, Software","San Diego, California, United States",Mitek (NASDAQ: MITK) is a global leader in mobile capture and identity verification software solutions.,"4,593",1985,,101-250,3,IPO,"Feb 1, 2015","€50,000",Grant,"$15,806,567"
Arsanis,https://www.crunchbase.com/organization/arsanis,"Biotechnology, Health Care, Science and Engineering","Vienna, Wien, Austria",Arsanis is a biopharmaceutical company developing infectious disease treatments based on bacterial protein and carbohydrate antigens.,"8,317",2010,3,11-50,8,IPO,"Apr 26, 2017","$45,500,000",Series D,"$100,270,317"
REGENXBIO,https://www.crunchbase.com/organization/regenx-biosciences,"Biotechnology, Health Care, Science and Engineering","Rockville, Maryland, United States","REGENXBIO develops adeno-associated viral vector-based therapeutics and research tools, offering NAV, a recombinant AAV-vector.","12,154",2009,2,1-10,5,IPO,"May 20, 2015","$70,500,000",Series D,"$118,891,875"
Epigenomics AG,https://www.crunchbase.com/organization/epigenomics-ag,"Health Care, Manufacturing, Software","Berlin, Berlin, Germany",Epigenomics AG is a molecular diagnostics company developing and manufacturing a pipeline of products for the diagnosis of cancer.,"20,836",1998,,51-100,5,M&A,"Jul 1, 2015","€2,772,528",Grant,"$61,663,355"
Cobalt Light Systems,https://www.crunchbase.com/organization/cobalt-light-systems,"Consumer Electronics, Hardware, Manufacturing","Abingdon, Oxfordshire, United Kingdom",Cobalt Light Systems manufactures a range of products based on Raman spectroscopy.,"23,951",2006,,11-50,3,M&A,"Jun 1, 2017",,Venture - Series Unknown,"$61,026,927"
Itamar Medical,https://www.crunchbase.com/organization/itamar-medical,Health Care,"Caesarea, Hefa, Israel",Itamar Medical is a publicly traded medical device company based in Israel’s Caesarea Industrial Park.,"24,254",1997,2,101-250,2,IPO,"Aug 27, 2015","$28,400,000",Post-IPO Equity,"$28,462,623"
FacePhi,https://www.crunchbase.com/organization/facephi,"Information Technology, Software","Madrid, Madrid, Spain",FacePhi specializes in developing and marketing face recognition software.,"24,965",2006,1,11-50,2,IPO,"Dec 1, 2016","€1,692,600",Grant,"€1,742,600"
Arcam,https://www.crunchbase.com/organization/arcam,"Hardware, Manufacturing, Software","Mölndal, Vastra Gotaland, Sweden",Arcam AB provides additive manufacturing solutions for the production of metal components.,"25,152",1997,,251-500,3,M&A,"Aug 1, 2015","€1,648,035",Grant,"€1,648,035"
Avanti Communications,https://www.crunchbase.com/organization/avanti-communications,"Hardware, Sales and Marketing","London, England, United Kingdom","Avanti Communications Limited supplies satellite communications services for business, institutional, and residential customers.","25,987",1996,,51-100,1,IPO,"Sep 1, 2015","€50,000",Grant,"€50,000"
HCI,https://www.crunchbase.com/organization/hci,"Software, Transportation","Delft, Zuid-Holland, The Netherlands",Holland Container Innovations finds a solution to reduce costs of empty container repositioning.,"33,823",2008,,1-10,3,IPO,"Apr 1, 2016","€2,466,636",Grant,"€2,516,636"
Multiplicom,https://www.crunchbase.com/organization/multiplicom,"Biotechnology, Health Care, Science and Engineering","Bel, Antwerpen, Belgium","Multiplicom develops molecular diagnostics products for medical genetics, and clinical laboratory-based tests.","35,911",2010,,51-100,3,M&A,"Jan 1, 2015","€50,000",Venture - Series Unknown,"€7,550,000"
NEL Hydrogen,https://www.crunchbase.com/organization/nel-hydrogen,Energy,"Notodden, Telemark, Norway",NEL Hydrogen is a world-leading supplier of hydrogen generation plants based on water electrolysis technology.,"45,982",1993,,11-50,1,M&A,"Jun 1, 2015","€1,999,457",Grant,"€1,999,457"
Digicash Payments,https://www.crunchbase.com/organization/digicash-payments,,"Leudelange, Luxembourg, Luxembourg",Digicash Payments runs the Luxembourg retail banks’ mobile payment product and scheme.,"46,284",2012,2,11-50,1,M&A,"Jun 1, 2015","$50,000",Grant,"$50,000"
Leclanché,https://www.crunchbase.com/organization/leclanché,"Consumer Electronics, Energy, Hardware, Manufacturing","Yverdon-les-bains, Vaud, Switzerland","Leclanché designs, develops, and manufactures customized energy storage solutions for electricity generation and transmission.","56,168",1909,,51-100,2,IPO,"Dec 1, 2017","€50,000",Grant,"$21,359,464"
Finesse Medical,https://www.crunchbase.com/organization/finesse-medical,"Health Care, Manufacturing","Longford, Longford, Ireland","Finesse Medical specialises in the development, Manufacture and Marketing of a range of advanced technologies.","59,335",2004,,,1,M&A,"Feb 1, 2016","€1,305,938",Grant,"€1,305,938"
Frauscher Sensor Technology,https://www.crunchbase.com/organization/frauscher-sensor-technology,"Hardware, Transportation","Sankt Marienkirchen, Oberosterreich, Austria",Frauscher Sensor Technology is an Austria-based provider of train tracking solutions for the global railway signaling industry.,"59,722",1987,,501-1000,1,M&A,"Oct 1, 2014","€50,000",Grant,"€50,000"
Bittium,https://www.crunchbase.com/organization/bittium,"Government and Military, Hardware, Internet Services, Privacy and Security","Oulu, Oulu, Finland",Bittium is specialized in developing reliable and secure communications and connectivity solutions using the latest technologies.,"59,865",1985,,501-1000,1,IPO,"Feb 1, 2015","€50,000",Grant,"€50,000"
Comnovo GmbH,https://www.crunchbase.com/organization/comnovo-gmbh,"Hardware, Software","Dortmund, Nordrhein-Westfalen, Germany",Comnovo is offering innovative hardware solutions and services in the field of wireless systems.,"62,521",2013,,,2,M&A,"Feb 1, 2015","€50,000",Grant,"€50,000"
Kromek,https://www.crunchbase.com/organization/kromek,"Hardware, Health Care, Privacy and Security","Durham, Durham, United Kingdom","Kromek is a supplier of patented radiation detection technologies tothe medical imaging, nuclear detection, and security screening markets.","64,234","Apr 1, 2003",,51-100,2,IPO,"Mar 1, 2016","€50,000",Grant,"$1,854,326"
Magpie Polymers,https://www.crunchbase.com/organization/magpie-polymers,"Energy, Sustainability","Nemours, Ile-de-France, France",Magpie Polymers provides an innovative and patented filtration technology for the selective removal of transition metals.,"65,114",2011,,,1,M&A,"Jan 10, 2014","€50,000",Venture - Series Unknown,"€50,000"
